ID,Number of Balls Faced,Batting Runs,Dismissals,Batting Strike Rate,Average,Number of Balls Bowled,Runs off Bowling,Wickets,Bowling Strike Rate,Economy,Batting Index
1fe81cc9,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,17.0,8.5,0.0
64d43928,1248.0,1395.0,84.0,111.78,16.61,5171.0,5666.0,245.0,23.13,6.57,37.133316
7c681ee9,19.0,11.0,0.0,57.89,11.0,0.0,0.0,0.0,0.0,0.0,12.7358
8820c9ef,107.0,141.0,7.0,131.78,20.14,0.0,0.0,0.0,0.0,0.0,53.080984
c5e415aa,35.0,32.0,2.0,91.43,16.0,0.0,0.0,0.0,0.0,0.0,29.257600000000004
f834dcfc,26.0,14.0,5.0,53.85,2.8,1335.0,1669.0,94.0,17.76,7.5,3.0156
d3cc2954,23.0,18.0,1.0,78.26,18.0,180.0,217.0,7.0,31.0,7.23,28.1736
208f22ea,118.0,139.0,9.0,117.8,15.44,1169.0,1476.0,41.0,36.0,7.58,36.376639999999995
d0178c53,10.0,4.0,2.0,40.0,2.0,26.0,40.0,0.0,40.0,9.23,1.6
dc002962,12.0,24.0,1.0,200.0,24.0,37.0,61.0,0.0,61.0,9.89,96.0
a2f71c9f,79.0,77.0,6.0,97.47,12.83,0.0,0.0,0.0,0.0,0.0,25.010801999999998
715941c3,407.0,454.0,31.0,111.55,14.65,0.0,0.0,0.0,0.0,0.0,32.68415
f62772e5,301.0,365.0,26.0,121.26,14.04,751.0,938.0,36.0,26.06,7.49,34.049808
3a026eb4,138.0,144.0,17.0,104.35,8.47,169.0,215.0,5.0,43.0,7.63,17.67689
90d6cdea,1075.0,1410.0,40.0,131.16,35.25,48.0,70.0,1.0,70.0,8.75,92.46780000000001
4d3097d8,72.0,86.0,7.0,119.44,12.29,0.0,0.0,0.0,0.0,0.0,29.358351999999996
fbd4f01f,14.0,7.0,2.0,50.0,3.5,160.0,114.0,11.0,10.36,4.28,3.5
616a8149,11.0,6.0,2.0,54.55,3.0,454.0,561.0,19.0,29.53,7.41,3.2729999999999997
cf494ffe,3864.0,5408.0,197.0,139.96,27.45,1119.0,1396.0,43.0,32.47,7.49,76.83804
